요일,제목,작가,장르,평점,연령등급,태그
FRIDAY,"언니, 이번 생엔 내가 왕비야",Omin / 트리플라인 / 레팔진프,순정,9.96655,15세 이용가,"['로맨스', '레드아이스 스튜디오', '사이다', '서양', '가족', '혐관', '왕족/귀족', '공식미남', '햇살남', '능력남', '순정남', '능력녀', '햇살캐', '다정남', '계략녀', '혐관로맨스', '회귀', '복수극', '로판', '소설원작']"
FRIDAY,연애의 기록,베어리,드라마,9.20303,15세 이용가,['드라마']
FRIDAY,히어로 킬러,꿀벌 / 벌꿀,액션,9.96098,15세 이용가,"['액션', '사이다', '현대판타지', '자극적인', '현대', '이능력', '악역이주인공', '빌런', '참교육', '범죄', '이능력배틀물', '걸크러시']"
FRIDAY,고구려 태왕미천,김진명 / 이동욱,무협,9.83218,15세 이용가,"['무협/사극', '전쟁', '요즘핫한추천작', '역사물', '소년왕도물', '두뇌싸움']"
FRIDAY,펜홀더,이은재,스포츠,9.93451,12세 이용가,"['스포츠', '열혈', '우정', '라이벌', '청춘', '성장물', '학원물', '성장드라마', '소년왕도물', '스포츠성장']"
FRIDAY,서울역 드루이드,문성호 / 활성곰 / 진설우,판타지,9.81127,15세 이용가,"['판타지', '사이다', '현대판타지', '현대', '게임', '상태창', '크리처', '액션', '차원이동', '헌터물', '이세계', '동물', '먼치킨', '소설원작']"
FRIDAY,사자의 서,랑또 / 키로,판타지,9.97137,18세 이용가,"['판타지', '자극적인', '시리어스', '절망적인', '동양', '크리처', '액션', '스릴러', '요즘핫한추천작', '성장물', '세계관', '오컬트', '동양풍판타지', '인외존재', '성장드라마', '다크판타지', '성인웹툰']"
FRIDAY,스틸링,정서,스릴러,9.95215,18세 이용가,"['스릴러', '고자극스릴러', '오컬트판타지', '중세', '서양', '크리처', '미스터리', '공포', '오컬트', '성인웹툰']"
FRIDAY,말년용사,후딩 / 신마니,판타지,9.94482,15세 이용가,"['판타지', '액션판타지', '신화', '액션', '개그', '2020 지상최대공모전', '4차원', '밀리터리', '회귀', '이능력배틀물', '이세계']"
FRIDAY,아르마딜로,허5파6,드라마,9.96305,전체연령가,"['드라마', '감성적인', '공감', '사회고발', '우정', '가족', '성장물', '힐링', '하이퍼리얼리즘', '성장드라마', '공감성수치', '감성드라마']"
FRIDAY,고결하고 천박한 그대에게,물만물 / 혜성 / 백묘,순정,9.8526,15세 이용가,"['로맨스', '치명적인', '서양', '정치', '왕족/귀족', '공식미남', '유혹남', '능력녀', '요즘핫한추천작', '회귀', '복수극', '소설원작']"
FRIDAY,저승파견고용직,호리,판타지,9.91314,15세 이용가,"['판타지', '현대판타지', '오컬트판타지', '판타지', '가벼운', '성장물', '오컬트', '4차원', '동양풍판타지', '인외존재', '성장드라마']"
FRIDAY,새동네,림스,스릴러,9.95096,15세 이용가,"['스릴러', '고자극스릴러', '액션', '참교육', '범죄', '힘숨찐', '서스펜스', '느와르']"
FRIDAY,도깨비의 밤,문식 / 도올,액션,9.9399,15세 이용가,"['액션', '서양', '현대', '동양', '신화', '이능력', '배틀', '소년물', '크리처', '판타지', '성장물', '환골탈태', '오컬트', '이능력배틀물', '이세계', '인외존재']"
FRIDAY,당신의 외도,나나은,드라마,9.2429,15세 이용가,"['드라마', '고자극드라마', '자극적인', '결혼생활', '가족', '중년', '서스펜스']"
FRIDAY,시체들의 전쟁,마요너구리,판타지,9.9384,15세 이용가,"['판타지', '액션판타지', '열혈', '배틀', '소년물', '액션', '판타지', '성장물', '소년왕도물']"
FRIDAY,당신이 움켜쥔 밤,캐시 / 시유애린,순정,9.82341,15세 이용가,"['로맨스', '재벌남', '계략남', '사연녀', '고자극로맨스', '구원서사', '소설원작']"
FRIDAY,도무지 그애는,"게코, 시노키오 / 게코",드라마,9.97477,12세 이용가,"['드라마', '공감', '청춘', '일상', '성장물', '힐링', '직업드라마']"
FRIDAY,플레이어,박종석 / 오현준,액션,9.93074,15세 이용가,"['액션', '액션판타지', '소년물', '판타지', '가벼운', '게임판타지', '힘숨찐', '하이틴', '이능력배틀물', '빙의', '먼치킨']"
FRIDAY,폭군님은 착하게 살고 싶어,람글 / 카콘,순정,9.97167,15세 이용가,"['로맨스', '순진남', '성장로판', '서양', '마법', '왕족/귀족', '공식미남', '햇살남', '순정남', '짝사랑녀', '성장물', '햇살캐', '육아물', '회귀', '직진남']"
FRIDAY,하남자,곽백수,드라마,9.40139,15세 이용가,"['드라마', '리얼로맨스', '과거', '캠퍼스', '후회남', '회귀', '캠퍼스로맨스', '삼각관계', '레트로', '공감성수치']"
FRIDAY,아티팩트 먹는 플레이어,벤티 / 기인,판타지,9.6796,15세 이용가,"['판타지', '사이다', '액션판타지', '게임판타지', '먼치킨', '소설원작']"
FRIDAY,남궁세가 비인격,해사,무협,9.44924,15세 이용가,"['무협/사극', '사이다', '동양', '액션', '성장물', '동양풍판타지', '회귀', '판무', '복수극']"
